"position","token","kl_deep","kl_norm"
"137","Central","0.068019","0.027793"
"138"," to","0.086396","0.035478"
"139"," this","0.035428","0.014164"
"140"," arrangement","0.020123","0.007764"
"141"," is","0.021212","0.008219"
"142"," a","0.024998","0.009802"
"143"," vintage","0.114816","0.047362"
"144"," Apple","0.151297","0.062618"
"145"," i","0.126125","0.052092"
"146","Mac","0.015065","0.005649"
"147"," G","0.027526","0.010860"
"148","4","0.050436","0.020440"
"149"," tower","0.039670","0.015938"
"150"," desktop","0.021911","0.008511"
"151",".","0.032180","0.012806"
"152"," It","0.022002","0.008550"
"153"," is","0.045963","0.018569"
"154"," recognizable","0.102169","0.042074"
"155"," by","0.037615","0.015079"
"156"," the","0.007488","0.002480"
"157"," round","0.044473","0.017946"
"158"," dome","0.039584","0.015902"
"159","-shaped","0.011828","0.004295"
"160"," top","0.028803","0.011394"
"161"," and","0.024301","0.009511"
"162"," the","0.082267","0.033751"
"163"," iconic","0.050770","0.020580"
"164"," minimalist","0.040012","0.016081"
"165"," design","0.023000","0.008967"
"166"," characteristic","0.029595","0.011725"
"167"," of","0.034941","0.013960"
"168"," this","0.009585","0.003357"
"169"," era","0.078975","0.032374"
"170"," (","0.014855","0.005561"
"171","cir","0.022713","0.008847"
"172","ca","0.842503","0.351666"
"173"," late","0.005658","0.001715"
"174"," ","0.008483","0.002896"
"175","1","0.203812","0.084579"
"176","9","0.022079","0.008582"
"177","9","0.313295","0.130362"
"178","0","0.488046","0.203440"
"179","s","0.049033","0.019853"
"180"," to","0.034182","0.013643"
"181"," early","0.017836","0.006807"
"182"," ","0.021041","0.008147"
"183","2","0.207488","0.086116"
"184","0","0.260842","0.108428"
"185","0","0.007497","0.002484"
"186","0","0.118571","0.048933"
"187","s","0.038820","0.015582"
"188",").","0.035771","0.014307"
"189"," The","0.036779","0.014729"
"190"," monitor","0.047142","0.019062"
"191",",","0.016240","0.006140"
"192"," though","0.033454","0.013338"
"193"," smaller","0.079645","0.032655"
"194"," than","0.025083","0.009838"
"195"," contemporary","0.070150","0.028684"
"196"," screens","0.027030","0.010652"
"197",",","0.168789","0.069933"
"198"," maintains","0.039704","0.015952"
"199"," a","0.011211","0.004037"
"200"," classic","0.026679","0.010505"
"201"," CRT","0.038906","0.015618"
"202"," aesthetic","0.064904","0.026490"
"203"," with","0.048832","0.019769"
"204"," rounded","0.022140","0.008607"
"205"," edges","0.056605","0.023020"
"206"," and","0.054538","0.022155"
"207"," displays","0.049175","0.019912"
"208"," content","0.007359","0.002426"
"209",",","0.026194","0.010303"
"210"," suggesting","0.049001","0.019840"
"211"," it","0.098395","0.040496"
"212"," could","0.043485","0.017533"
"213"," be","0.074974","0.030701"
"214"," a","0.034013","0.013572"
"215"," webpage","0.026234","0.010319"
"216"," or","0.032675","0.013013"
"217"," document","0.013249","0.004889"
"218",".","0.020609","0.007967"
"219"," Below","0.023679","0.009251"
"220"," the","0.136715","0.056520"
"221"," monitor","0.050631","0.020522"
"222"," rests","0.021991","0.008545"
"223"," a","0.212565","0.088239"
"224"," larger","0.056608","0.023021"
"225"," external","0.016557","0.006273"
"226"," hard","0.033808","0.013486"
"227"," drive","0.009463","0.003306"
"228"," case","0.012941","0.004760"
"229",".","0.011597","0.004198"
"230"," Fl","0.019143","0.007354"
"231","anking","0.023966","0.009371"
"232"," the","0.012338","0.004508"
"233"," desktop","0.016460","0.006232"
"234"," are","0.083473","0.034256"
"235"," two","0.012613","0.004623"
"236"," small","0.047022","0.019012"
"237",",","0.036353","0.014551"
"238"," translucent","0.046145","0.018646"
"239"," sphere","0.028632","0.011322"
"240"," speakers","0.034179","0.013642"
"241",",","0.025645","0.010073"
"242"," echoing","0.017275","0.006573"
"243"," the","0.049309","0.019968"
"244"," sleek","0.039346","0.015803"
"245"," design","0.019138","0.007352"
"246"," of","0.052261","0.021203"
"247"," older","0.015080","0.005655"
"248"," Mac","0.040240","0.016176"
"249"," hardware","0.040816","0.016417"
"250",".

","0.012989","0.004780"
"251","In","0.011601","0.004200"
"252"," front","0.014003","0.005204"
"253"," of","0.003184","0.000680"
"254"," both","0.005776","0.001764"
"255"," computers","0.029458","0.011667"
"256"," lies","0.103118","0.042471"
"257"," a","0.031719","0.012613"
"258"," standard","0.087412","0.035903"
"259"," Q","0.035350","0.014131"
"260","W","0.004891","0.001394"
"261","ERT","0.006264","0.001968"
"262","Y","0.010961","0.003932"
"263","-style","0.021063","0.008157"
"264"," keyboard","0.031187","0.012390"
"265"," in","0.004408","0.001192"
"266"," white","0.042468","0.017108"
"267",",","0.007480","0.002477"
"268"," placed","0.017110","0.006504"
"269"," centrally","0.016874","0.006405"
"270"," between","0.014932","0.005593"
"271"," them","0.059458","0.024213"
"272",",","0.033425","0.013326"
"273"," indicating","0.019181","0.007370"
"274"," shared","0.034015","0.013573"
"275"," use","0.054428","0.022109"
"276"," despite","0.061709","0.025154"
"277"," their","0.035681","0.014270"
"278"," individual","0.040858","0.016435"
"279","ity","0.024401","0.009552"
"280"," as","0.014799","0.005537"
"281"," separate","0.013595","0.005034"
"282"," machines","0.016410","0.006211"
"283",".","0.066227","0.027043"
"284"," 

","0.125303","0.051748"
"285","To","0.036197","0.014485"
"286"," the","0.012354","0.004515"
"287"," right","0.012922","0.004752"
"288"," of","0.008712","0.002992"
"289"," the","0.003954","0.001002"
"290"," desktop","0.063116","0.025742"
"291"," PC","0.041240","0.016595"
"292"," stands","0.022526","0.008768"
"293"," a","0.007730","0.002581"
"294"," tall","0.055440","0.022533"
"295"," black","0.067540","0.027592"
"296"," floor","0.162819","0.067436"
"297"," lamp","0.096844","0.039847"
"298",",","0.011718","0.004249"
"299"," providing","0.022667","0.008827"
"300"," additional","0.013365","0.004938"
"301"," lighting","0.015219","0.005713"
"302",".","0.023143","0.009026"
"303"," A","0.072926","0.029845"
"304"," few","0.022879","0.008916"
"305"," personal","0.007098","0.002317"
"306"," items","0.005123","0.001491"
"307"," add","0.001656","0.000041"
"308"," character","0.006147","0.001919"
"309"," to","0.009969","0.003518"
"310"," the","0.002846","0.000539"
"311"," space","0.008487","0.002898"
"312","—a","0.007897","0.002651"
"313"," water","0.020258","0.007820"
"314"," bottle","0.013001","0.004785"
"315"," with","0.025240","0.009903"
"316"," a","0.015696","0.005912"
"317"," colorful","0.033583","0.013392"
"318"," pattern","0.019340","0.007436"
"319",",","0.005122","0.001491"
"320"," a","0.007876","0.002642"
"321"," small","0.033289","0.013270"
"322"," p","0.029685","0.011762"
"323","otted","0.013305","0.004912"
"324"," plant","0.001576","0.000008"
"325",",","0.004959","0.001422"
"326"," and","0.004064","0.001048"
"327"," miscellaneous","0.004309","0.001151"
"328"," papers","0.007649","0.002547"
"329"," or","0.068361","0.027936"
"330"," books","0.017738","0.006766"
"331"," resting","0.007138","0.002334"
"332"," casually","0.022840","0.008900"
"333"," on","0.020053","0.007735"
"334"," the","0.014118","0.005253"
"335"," desk","0.008895","0.003068"
"336","’s","0.008941","0.003088"
"337"," right","0.011441","0.004133"
"338"," corner","0.011571","0.004188"
"339",".","0.011319","0.004082"
"340"," These","0.031656","0.012586"
"341"," items","0.007998","0.002693"
"342"," convey","0.004717","0.001321"
"343"," an","0.010769","0.003852"
"344"," active","0.010844","0.003883"
"345"," and","0.003298","0.000728"
"346"," lived","0.009083","0.003147"
"347","-in","0.041407","0.016664"
"348"," workspace","0.007487","0.002480"
"349"," rather","0.005512","0.001654"
"350"," than","0.018348","0.007021"
"351"," a","0.020300","0.007838"
"352"," sterile","0.003525","0.000823"
"353"," environment","0.020384","0.007873"
"354",".

","0.027930","0.011028"
"355","The","0.021437","0.008313"
"356"," background","0.187088","0.077585"
"357"," suggests","0.052610","0.021349"
"358"," an","0.049232","0.019937"
"359"," indoor","0.022635","0.008814"
"360"," room","0.019784","0.007622"
"361"," with","0.006682","0.002143"
"362"," minimal","0.019617","0.007552"
"363"," distractions","0.008869","0.003058"
"364",".","0.044396","0.017914"
"365"," A","0.025125","0.009856"
"366"," window","0.024815","0.009726"
"367"," covered","0.029945","0.011871"
"368"," with","0.037810","0.015160"
"369"," blinds","0.108414","0.044685"
"370"," is","0.092189","0.037900"
"371"," partially","0.020870","0.008076"
"372"," open","0.035552","0.014216"
"373",",","0.012538","0.004592"
"374"," allowing","0.011776","0.004273"
"375"," natural","0.013382","0.004945"
"376"," daylight","0.055736","0.022656"
"377"," to","0.014012","0.005208"
"378"," filter","0.008463","0.002888"
"379"," through","0.016816","0.006381"
"380"," while","0.028144","0.011118"
"381"," maintaining","0.043356","0.017479"
"382"," privacy","0.022865","0.008910"
"383",".","0.236682","0.098324"
"384"," The","0.051433","0.020857"
"385"," walls","0.096258","0.039602"
"386"," appear","0.038635","0.015505"
"387"," neutral","0.041369","0.016648"
"388",",","0.026093","0.010260"
"389"," likely","0.006945","0.002253"
"390"," painted","0.057837","0.023535"
"391"," white","0.150484","0.062278"
"392"," or","0.031055","0.012335"
"393"," off","0.025237","0.009902"
"394","-white","0.065171","0.026602"
"395",",","0.034520","0.013784"
"396"," contributing","0.015011","0.005626"
"397"," to","0.035725","0.014288"
"398"," the","0.019432","0.007475"
"399"," room","0.011648","0.004219"
"400","’s","0.006227","0.001953"
"401"," brightness","0.009679","0.003396"
"402"," without","0.016802","0.006375"
"403"," overwhelming","0.031302","0.012439"
"404"," color","0.061558","0.025091"
"405",".","0.060542","0.024666"
"406"," The","0.035922","0.014371"
"407"," overall","0.050968","0.020662"
"408"," atmosphere","0.023442","0.009152"
"409"," of","0.011972","0.004355"
"410"," the","0.001558","0.000000"
"411"," room","0.014580","0.005446"
"412"," con","0.010046","0.003550"
"413","veys","0.151043","0.062512"
"414"," productivity","0.008035","0.002709"
"415"," and","0.004100","0.001063"
"416"," comfort","0.008315","0.002826"
"417",",","0.024997","0.009802"
"418"," suitable","0.019148","0.007356"
"419"," for","0.009422","0.003289"
"420"," work","0.013205","0.004871"
"421"," or","0.005969","0.001845"
"422"," leisure","0.011607","0.004203"
"423"," tasks","0.027329","0.010777"
"424"," involving","0.604987","0.252342"
"425"," computers","0.018748","0.007189"
"426",".","0.053554","0.021744"
"427"," The","0.027011","0.010644"
"428"," mix","0.031975","0.012720"
"429"," of","0.010658","0.003806"
"430"," old","0.051829","0.021022"
"431"," technology","0.012236","0.004466"
"432"," with","0.012871","0.004731"
"433"," more","0.031616","0.012570"
"434"," recent","0.031709","0.012609"
"435"," gadgets","0.023214","0.009056"
"436"," reflects","0.031750","0.012626"
"437"," the","0.015530","0.005843"
"438"," evolution","0.020365","0.007865"
"439"," of","0.004946","0.001417"
"440"," computing","0.021490","0.008335"
"441"," trends","0.031082","0.012346"
"442"," over","0.014257","0.005311"
"443"," time","0.012025","0.004377"
"444",".","0.008601","0.002945"
